,year,country,case,complaining_work,defending_work,complaining_author,defending_author
0,2007,US,Bridgeport Music v. Combs,Singing in the Morning,Ready to Die,"Robert Jones, et al.",Christopher Wallace
0,2007,TWN,People v. Hu,Lianshang Love Song,Bye Bye My Lover!,Lo,Hu
0,2008,US,Glover v. Austin,Make Up Your Mind,Unpretty,Corey Glover,"Tionne Watkins, et al."
0,2009,US,Allen v. Destiny's Child,Cater 2 U,Cater 2 U,Rickey Allen,Destiny's Child
0,2009,US,Brainard v. Vassar,Good Ol' Days to Come,Good Ole Days,Dustin Evans,Phil Vassar
0,2009,US,"Steele v. Bongiovi, et al.",Man I Really Love This Team,I Love This Town,Samuel Steele,Jon Bongiovi
0,2009,US,"Bridgeport Music, Inc. v. UMG Recordings, Inc",Atomic Dog,D.O.G. In Me,George Clinton,"Robert Kelly, et al. (""Public Announcement"")"
0,2009,US,Jones v. Blige,Party Ain't Crunk,Family Affair,Leonard Jones and James E. White,Mary J. Blige
0,2009,US,"Ernest Straughter v. Usher Raymond, et al.",The Reasons Why,Burn,Ernest Straughter,"Usher Raymond, et al."
0,2009,US,"[INPLAY] Joe Satriani v. Christopher Martin, et al. [Coldplay]",If I Could Fly,Viva la Vida,Joe Satriani,Christopher Martin et al. [Coldplay]
0,2010,AU,Larrikin Music Publishing Ltd. v. EMI Songs Australia Ltd.,Kookaburra Sits in the Old Gum Tree,Down Under,Marion Sinclair,"Colin Hay (""Men At Work"")"
0,2010,US,[INPLAY] Martel Ellis v. Wyclef Jean,Danger,Welcome to the East,Martel Ellis,Wyclef Jean
0,2010,US,"[INPLAY] Ebony Latrice Batts v. William Adams, et al. [“Black Eyed Peas”]",Boom Dynamite,Boom Boom Pow,Ebony Latrice Batts aka “Phoenix Phenom”,"William Adams, et al. [“Black Eyed Peas”]"
0,2011,US,"Saregama India v. Timothy Mosley, et al.",Baghon Mein Behar Hai,Put You on the Game,Anonymous,"Timothy Mosley, aka ""Timbaland"""
0,2012,US,"Lyles v. Capital - EMI Music, Inc., et al. ",Without You,Without You,Bruce Lyles,David Guetta
